Longitude,Latitude,GravelD50,GravelPercent,MudPercent,OrbitalVelMax,OrbitalVelMean,Permeability,POC,Porosity,Rock10cm,Rock50cm,SandD50,SandPercent,SurfaceCarbon,SurfaceNitrogen,TidalVelMax,TidalVelMean,TN,TotalD50
-1.5625,44.0625,7.120661736,15.11365604,19.609972,0.224875018,0.034090742,1.87E-12,0.590731084,0.389617801,0.018086666,0.021283334,0.245486841,65.27637482,0.955515146,0.090492375,8.224432945,4.690432072,0.055945382,0.284964263
-1.4375,44.0625,7.12977457,15.46165371,30.34951591,0.268523574,0.046172287,1.22E-12,0.712327838,0.393150896,0.021383651,0.028566666,0.227211997,54.18883133,1.145530105,0.114396192,7.005742073,3.415151834,0.071135268,0.26011911
-2.0625,44.1875,4.939548016,7.837322712,36.44145203,0.015125466,6.19E-04,8.58E-14,0.754059792,0.429459631,0.030623334,0.055633333,0.277625233,55.72122574,1.140087128,0.124702424,6.399055481,2.542793989,0.082478859,0.146213353
-1.9375,44.1875,4.016213417,1.772124171,40.76436234,0.056218326,0.003555527,8.56E-15,0.84662205,0.488764405,0.0018,8.13E-04,0.219291329,57.46351242,1.146981835,0.111398868,9.335975647,3.591879845,0.08222688,0.088740833
-1.8125,44.1875,4.09244442,2.732923746,39.93569183,0.103006937,0.008966003,1.24E-14,0.813855827,0.477279186,0.002406667,0.002346667,0.264008731,57.33138657,1.127361298,0.11165677,10.71242619,4.617378712,0.080606379,0.09608534
-1.6875,44.1875,4.337078571,3.439579248,13.00068188,0.15861623,0.01844052,2.75E-13,0.479821742,0.41007933,0.0012,0.003739192,0.265736818,83.55973816,0.750100434,0.082443304,11.34492588,5.501600742,0.052737061,0.188260853
-1.5625,44.1875,6.720175743,14.22197628,31.81195641,0.198872596,0.027582839,8.40E-13,0.776174724,0.396733075,0.005036727,0.006726667,0.173314378,53.96606827,1.240837336,0.115184404,9.963605881,5.168621063,0.072050713,0.239719823
-1.4375,44.1875,7.937398434,18.19868851,32.09280014,0.266836345,0.045952626,2.37E-12,0.787714422,0.38782531,0.023261933,0.034986667,0.225285783,49.70851135,1.277879953,0.126367435,8.303499222,4.489695072,0.077895783,0.299989462
-2.0625,44.3125,4.836284161,6.409157276,32.33666611,0.01305066,5.17E-04,8.52E-14,0.712133765,0.429582059,0.004466667,0.00324,0.360807657,61.25417709,1.076466799,0.121312544,7.179230213,2.805730343,0.080253996,0.146013513
-1.9375,44.3125,5.68472147,3.536700487,52.28178406,0.051618069,0.003148232,1.53E-15,0.842110157,0.552150905,0.0025,0.00382,0.21969071,44.18151474,0.999416411,0.113602981,10.75306702,4.05529213,0.095722087,0.06107961
-1.8125,44.3125,4.365722179,3.076669216,44.50748825,0.093908153,0.007761475,7.70E-15,0.830141962,0.492225766,0.002153333,0.006146667,0.263581783,52.41584396,1.117040396,0.120026633,12.32947254,5.129388809,0.08919923,0.086725488
-1.6875,44.3125,4.572069645,4.245053291,14.46458244,0.145020798,0.015901675,2.87E-13,0.503435731,0.409506053,0.013886667,0.008233333,0.263910949,81.29036713,0.787780702,0.091445059,12.93284988,5.997041702,0.058438476,0.18994315
-1.5625,44.3125,8.122496605,18.36494446,25.52084923,0.184666649,0.024377806,2.63E-12,0.69771868,0.387056053,0.006806666,0.012486666,0.474967659,56.11420441,1.13330543,0.109805666,11.65276337,5.658185482,0.067601778,0.307062298
-1.4375,44.3125,8.865952492,20.796978,26.80648613,0.262606919,0.044842992,4.15E-12,0.732601523,0.384075522,0.02220987,0.027876666,0.541867316,52.39653778,1.195752144,0.119751588,10.77528667,5.389527321,0.073368214,0.338936746
-2.0625,44.4375,4.885125637,7.462848663,35.25600052,0.013386151,5.33E-04,8.50E-14,0.70932883,0.429648787,0.00136,0.005806667,0.302765459,57.28115082,1.072101355,0.120882079,8.586181641,3.301736116,0.079978578,0.145904839
-1.9375,44.4375,4.236050129,1.311358094,34.9990654,0.056951113,0.003612707,1.73E-14,0.76919359,0.467425257,0.001233333,1.33E-04,0.166073903,63.6895752,1.085580707,0.108002596,13.49934864,4.9522295,0.076525778,0.103360534
-1.8125,44.4375,4.383841991,2.891029835,44.94009018,0.094227985,0.0077961,6.89E-15,0.832974076,0.495926797,0.00166,0.00332,0.253846198,52.16888046,1.112681746,0.1201379,15.03186989,5.977030754,0.089937449,0.084659338
